title,company,city,salary,experience,education,tags,job_description,salary_low,salary_high,avg_salary_k,0-10k,10k-15k,15k-20k,20k-25k,25k+
Python开发工程师,北京海泰方圆科技股份有限公司,北京,1.4-2.8万,3-5年,本科,,"1、大模型产品后端服务系统的设计、开发、评测、优化、部署；
2、基于深度学习框架、Lang Chain、网页搜索技术，结合向量数据库与大语言模型（LLM）构建智能化系统，确保业务需求高效落地；
3、大模型的本地部署与优化，负责模型推理、性能调优及多场景适配，保障系统稳定性与响应速度；
4、跟踪自然语言处理（NLP）、大模型技术前沿，参与模型微调、检索增强算法研究，探索多模态生成、行业垂直场景应用。

任职要求：
1、具有3 年及以上 AI 产品与应用系统研发经验与AI算法相关工作经验；
2、有党政、电力等业务场景下大模型应用开发和落地经验；有基于大模型的插件开发经验者优先；
3、扎实的编程基础，精通Python语言特性，熟悉数据结构与算法，具备复杂业务逻辑编码能力；
4、熟悉PyTorch/TensorFlow等深度学习框架，熟悉Transformer架构，掌握大模型（如deepseek，qwen，chatglm）的原理与应用，具备模型微调或优化经验；
5、熟练使用LangChain生态工具（Chains/Tools/Agents），理解RAG技术原理，有实际项目经验者优先；
6、熟悉Flask/FastAPI、Swagger/Flasgger等Web开发工具，具备RESTful API设计与调试能力；
7、掌握conda/Docker/Kubernetes等容器化技术，熟悉Linux环境下的开发与部署流程。",14.0,28.0,21.0,0.0,0.0714,0.3571,0.3571,0.2143
Python【智源】,同方鼎欣科技股份有限公司,北京,1.8-2.5万,3-5年,本科,算法,"职位名称：Python开发工程师
人数：1人
客户：北京智源人工智能研究院
工作地点：北京海淀区成府路150号智源大厦（紧邻地铁五道口站）
月薪资范围：18K-25K（根据能力面试定薪）
需求提出日期：2025年4月3日
期望到岗日期：尽快到岗
工作时间：工作日9:00-18:00（可弹性），六日双休，现场坐班；
合同期限：长期职位，先签一年劳动合同，2个月试用期
简历推荐命名：ASDC-智源-Python开发--姓名
注：智源HR发送面试邀约到邮箱，请保证候选人电话、邮箱准确；
职责描述：
1. 负责具身智能工程架构以及部署技术的开发。
2. 具身智能算法工程落地以及多设备部署。
职位要求:
1. 计算机科学、人工智能、自动化、软件工程等相关专业领域；
2. 精通 Python；
3. 具备优秀的学习能力，动手能力以及良好的团队沟通与协作能力；
4. 有相关工程落地经验以及算法实现能力者优先；
5. 需要懂算法，最好做过算法部署。",18.0,25.0,21.5,0.0,0.0,0.2857,0.7143,0.0
Java/Python/C/C++岗位,外企德科数字技术有限公司,北京,1.7-3万,经验不限,本科,JavaScript,"1. 熟悉Java/Python/C/C++任何一种语言
2. 具备扎实的计算机基础，熟悉数据结构、算法和网络编程等知识点。
3. 具备初步的Web开发经验，熟悉HTML、CSS、JavaScript等前端技术。
4. 具有较强的自学能力、问题解决能力和团队协作能力。",17.0,30.0,23.5,0.0,0.0,0.2308,0.3846,0.3846
Java开发工程师（Python大模型开发）,北京元阅科技发展有限公司,北京,1.5-2万,1-3年,本科,"Java, JavaScript","我们正在寻找一位技能栈跨越Java和Python的大模型开发工程师，负责公司核心产品的开发与优化。您将参与构建基于Spring Cloud的微服务体系，并结合Python进行大模型应用开发，推动技术创新和产品升级。如果您熟悉Java开发，有Python大模型开发经验，且对技术挑战充满热情，我们期待您的加入！

岗位职责：
核心开发：负责公司产品的架构设计、核心代码开发和优化，确保系统高可用性和稳定性。
技术选型：参与技术选型、系统模块设计和评审，推动技术方案的落地。
功能开发：独立完成功能模块的开发，按时交付高质量代码。
技术攻关：解决技术难题，提升系统性能和扩展性。
大模型开发：参与大模型架构设计、优化算法，研究大模型应用。
跨团队协作：与数据科学家、产品团队紧密合作，推动产品创新。

职位要求：
教育背景：计算机或相关专业，3-5年Java互联网开发经验，参与过大型项目或SaaS平台开发优先。

技术技能：
Java开发：熟练使用Spring Cloud构建微服务，掌握Java及相关技术。
大模型开发：熟悉PyTorch、TensorFlow等框架，有LLM大模型应用经验。
数据库与系统：熟悉MySQL、NoSQL，了解Linux和容器化技术（Docker, K8s）。
架构设计：理解分布式、缓存、消息机制，具备微服务设计能力。
其他技能：熟悉IO、多线程、JVM原理，良好的数据结构、算法基础和设计模式知识。
工具使用：熟练掌握Idea、Eclipse、Maven、Git、Jenkins等开发工具。
学习能力：具备优秀的自我驱动力和学习能力，良好的沟通和协作能力。

优先考虑：
有大模型训练、优化或应用经验。
熟悉推荐系统、NLP或搜索算法。
具备前端开发经验（如Vue、React）。

我们提供：
具备挑战性的项目和技术栈。
支持机器学习和高性能计算资源。
灵活的工作环境和职业发展机会。",15.0,20.0,17.5,0.0,0.0,1.0,0.0,0.0
python算法工程师,北京一轻科技集团有限公司,北京,2-3.5万,经验不限,,"TensorFlow, pytorch, Python, OpenCV, NumPy, Pandas","工作职责：
1.负责语言大模型的训练、微调、部署；
2.负责智能体、知识库等大模型应用的研发和优化；
3.跟踪最新的人工智能研究进展，并将创新技术应用于实际问题。

职位要求：
1.硕士及以上学历，人工智能/计算机/自动化/电子信息等相关专业优先（双一流学校优先考虑）；
2.熟练掌握至少一种深度学习框架（PyTorch、TensorFlow、Paddle等），理解Transformer等常见模型的原理；
3.有大模型应用技术（LangChain、FunctionCall、RAG等）的实践经验，并掌握其原理；
4.掌握Python/C++等至少一种编程语言，编码能力优秀，计算机功底扎实。",20.0,35.0,27.5,0.0,0.0,0.0,0.3333,0.6667
【北京华为od】Java/C/C++/Python/GO/JS/C#/算法/测开/数据——华为od,外企德科数字技术有限公司,北京,1.5-3万·14薪,经验不限,本科,,"欢迎有能力的你，想学习技术的你，加入我们！
【注】考公、考研等未就业者，转行等无工作经验者，均可参加面试，且面试通过后入职。
通用要求：
1.熟悉Java/C/C++/Python等其中一种语言，具备良好的算法和编程能力。
2.熟悉Spring、Spring Boot 、Spring Cloud等各种开源框架。
3.熟悉Mysql、Oracle等数据库。
4.熟悉Devops，熟悉Docker，熟悉Kubernetes等。
面试方向：
软件开发、测试开发、数据、运维、算法、AI相关、鸿蒙开发、云计算开发、分布式开发等等等等等等等（多种方向选择，欢迎小窗沟通）
岗位福利：
1.入职缴纳五险一金，试用期薪资不打折，薪资结构透明，绩效奖金，带薪年假，加班补助。
2.平台大，稳定性强，基本盘稳，抗风险能力优于频繁裁员的公司。
3.科研大佬带队，接触前沿科技，提升核心竞争力。

base：
目前北京、上海、深圳、东莞、苏州、杭州、西安、成都、南京、武汉、长沙、济南等多地招聘的。",15.0,30.0,22.5,0.0,0.0,0.3333,0.3333,0.3333
Python开发工程师,北京睛采智能科技有限公司,北京,1-2万·14薪,经验不限,本科,"QT, 深度学习, Unity","岗位职责：
1、参与智慧训练产品设计、开发以及维护；
2、参与人工智能视觉系统的设计与搭建。

任职要求：
1、本科及以上学历，计算机相关专业；
2、熟练掌握Python，同时掌握其它编程语言者优先；
3、有图形界面开发经验，同时有前端开发经验者优先；
4、熟悉SQL数据库、多进程和多线程编程技术；
5、有计算机视觉、深度学习经验者优先；
6、有责任心，具备良好的自学能力和独立解决问题的能力。

职位福利：大牛带队、14薪、弹性工作、五险一金、周末双休、定期团建、补充医疗保险",10.0,20.0,15.0,0.0,0.5,0.5,0.0,0.0
Python工程师,北京美萱视界科技有限公司,北京,1.3-2万,3-5年,大专,"PYTHON多线程, 自动化脚本, AI内容生成","1.负责设计、开发和维护自动化 Python 脚本，利用AI接口实现 AI文案生成、AI图像生成、AI视频生成、自动化剪辑以及自动化视频爬虫等技术的开发与运维。
2.持续优化自动化脚本，提高自动化系统性能和稳定性，保障各 AI 业务模块高效运行。
3.建立和完善自动化脚本监控体系，及时发现并解决脚本运行时的异常，保障业务连续性。
4.与 AIGC 研发团队协同，优化自动化剪辑脚本，依据不同内容需求实现智能化剪辑，提升 AIGC 内容产出效率。
5.配合测试团队开发自动化测试脚本。
6.配合配置管理员开发自动化运维监控脚本。

技能要求：
1.精通 Python 编程语言，具备扎实的编程基础，熟悉常用的 Python 库，如Selenium、OpenCV、Pytorch 等。
2.有丰富的自动化脚本开发经验，能够独立完成复杂的自动化任务，如自动化爬虫、自动化剪辑、自动化测试、自动化运维流程搭建等。
3.熟练掌握 Python 多线程、异步编程，能应对高并发场景下的自动化任务调度。
4.了解 AI 相关技术，对 AI 文案生成、图像生成、视频生成原理有一定认识，能够实现与这些技术的有效对接和调度。
5.具备良好的问题解决能力和团队协作精神，能够快速定位和解决脚本运行过程中出现的问题。
6.具备初创团队的吃苦耐劳精神。",13.0,20.0,16.5,0.0,0.2857,0.7143,0.0,0.0
JAVA/C/C++/Python/go/web开发工程师 全国岗14薪，全额社保公积金 应届生/考研/考公失败可投,外企德科数字技术有限公司,北京,1.5-3万·14薪,经验不限,本科,"JavaScript, Python, C++, Spring, MySQL","【岗位职责】线上面试，有题库刷题，试用期全薪不打折
1、参与项目需求分析，搭建系统框架和核心模块的设计；
2、根据项目进度完成代码开发任务；
3、对代码进行维护、改进与完善，以满足新需求；
4、参与数据仓库需求分析、程序优化；
5、在项目开发过程中，与团队共享、研讨相关工作和培训经验；
【岗位要求】
熟练掌握任意一门语言即可,前端后端等均有坑哦
入职即安排高资历师傅一带一带教，再也不用担心会不会啦~
【技术优势】
部门发展迅速，大牛带队，使用主流技术，个人技术提升大、视野宽，机会多，进步快
【福利待遇】
1、入职购买全额五险一金+补充商业医疗保险；
2、绩效奖金+年终奖+节假日福利+定期体检+带薪年假，都给安排的妥妥的！
3、超赞的办公环境，食堂班车夜宵一应具全~

【上班地点】
苏州、广州、东莞、深圳、长沙、杭州、南京、成都、北京、上海、武汉、西安、济南。以上有华为研究所的地方都有岗位哦",15.0,30.0,22.5,0.0,0.0,0.3333,0.3333,0.3333
开发工程师（Python）,国新健康保障服务集团股份有限公司北京分公司,北京,1.3-1.6万·16薪,3-5年,本科,Python,"岗位职责：
1. 系统设计与开发：负责基于 Python 的大型软件系统的设计、开发与优化，确保系统架构的合理性、可扩展性和高可用性；
2. 代码质量把控：遵循工程化开发规范，编写高质量、可维护的代码，进行代码审查，提升团队整体代码质量；
3. 性能优化：对系统性能进行监控与分析，定位瓶颈并优化，提升系统响应速度和资源利用率；
4. 技术难题攻克：解决开发过程中遇到的复杂技术问题，探索新技术，推动技术升级；
5. 团队协作与指导：与团队成员紧密合作，分享技术经验，指导初级开发人员，提升团队整体技术水平。
任职要求：
1. 学历背景：本科及以上学历，计算机相关专业；
2. 工作经验：3年以上 Python 开发经验，具备大型项目开发经验者优先；3. 技术能力：精通 Python 编程，熟悉常用框架（如 Django、Flask 等）。熟悉软件工程化开发流程，掌握版本控制（如 Git）、持续集成（如 Jenkins）等工具，具备良好的数据库设计能力，熟悉 MySQL、PostgreSQL 等关系型数据库及 Redis、MongoDB 等非关系型数据库，了解云计算、容器化（如 Docker、Kubernetes）相关技术者优先；
4. 综合素质：具备良好的问题解决能力和逻辑思维能力，具有较强的学习能力和责任心，能够快速适应新技术和新环境，良好的团队合作精神和沟通能力，能够高效协作完成项目任务。",13.0,16.0,14.5,0.0,0.6667,0.3333,0.0,0.0
python后端开发工程师,北京炎焱众智科技有限公司,北京,1.5-1.7万,5-10年,本科,"Django, Flask, MySQL, Redis, SQLServer","工作内容：
1、参与软件项目的编码实施、测试和文档编写；
2、负责业务需求分析，将业务需求拆分成独立的业务功能，并负责相关的开发等工作；
3、负责部分核心技术问题的攻关，架构设计，系统优化，协助解决项目开发过程中的技术难题；
4、配合项目的整体计划和安排，对业务人员进行技术指导；
岗位要求：
1、本科及以上，计算机相关专业，熟悉Python开发
3、熟悉SQL，熟悉Orcale、DB2、SQLSERVER、Mysql数据库应用开发中至少一个；
4、熟悉linux/Unix常用操作命令，了解shell；
5, 具有高度的责任感，工作积极、学习能力强、善于总结，有规范化文档编写良好习惯；
6、相关开发经验7年以上。",15.0,17.0,16.0,0.0,0.0,1.0,0.0,0.0
C/C++/Java/JS/Python软件开发（全国有岗 接受应届）,外企德科数字技术有限公司,北京,1.5-3万,经验不限,本科,"C#, Java, Python, MySQL","职位描述
一、软件开发工程师
1. 热爱编程，熟悉掌握Java/C++/C/Python/Web开发等编程语言中的一种或多种编程语言，扎实的编程功底；
2. 具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，热衷新技术；

二、算法工程师
1、熟练掌握Java/C/C++/Python其中一个或多个编程语言，有扎实的编程功底；
2、熟悉机器学习、深度学习或图像算法。

三、软件测试工程师
1. 热爱编程，熟悉掌握C/C++/Java/Python等编程语言中的一种或多种编程语言，扎实的编程功底；
2.有web开发或测试经验、自动化开发或测试经验者优先。
3.熟练掌握系统测试、功能测试、专项测试、软件测试、韧性测试、安全测试方法中的一种或多种测试方法，有相关测试语言/脚本的编写和实践经验优先，也可接受纯测试经验的。
4.具备良好的独立工作能力和解决问题能力，善于沟通，乐于合作，热衷新技术；

岗位要求：
本科及以上学历，计算机、软件工程、通信等相关专业优先，转行，转专业可接受
（1） 统招本科及以上学历，学信网可查
（2）导师制培训机制，新人入职后至少半年以上会有导师一对一辅导开展工作和学习
（3） 部门：ICT(公开，光，计算，无线，数存等 ) 、华为云、2012(中硬，中软，中媒)、消费者BG、BPIT、上海海思、Carbu、数字能源等
（4）主要地点：（东莞、深圳、杭州、 西安，苏州、上海，武汉，成都、南京、北京）十大研究所，少量（广州、长沙、济南）三个办事处
（5） 全程流程随时跟进可查, 一个部门不满意可转推不同部门

薪资福利：
1. 底薪+绩效+项目奖金+年终奖；
2. 缴纳社保及五险一金；
3.一年数次考评，薪资可上浮；
4.带薪年假5-15天，双休。",15.0,30.0,22.5,0.0,0.0,0.3333,0.3333,0.3333
python,上海微创软件股份有限公司,北京,1.2-1.3万,经验不限,本科,,"负责大模型系统的开发和维护、性能优化、数据治理等
精通python，熟悉flask/fastapi等服务框架，熟悉linux操作，会写sql，熟悉redis
加分项：熟悉pandas等数据处理工具
职责：负责大模型系统的开发和维护、性能优化、数据治理等
精通python，熟悉flask/fastapi等服务框架，熟悉linux操作，会写sql，熟悉redis
加分项：熟悉pandas等数据处理工具",12.0,13.0,12.5,0.0,1.0,0.0,0.0,0.0
python运维开发,软通动力信息技术(集团)股份有限公司,北京,1.4-1.6万,3-5年,本科,"Python, K8s, 存储, 阿里云","熟悉k8s 存储
岗位职责:
1. 负责开发和维护基于Python的运维工具和脚本。
2. 参与自动化运维项目的设计、开发和实施。
3. 监控和管理Python相关项目，确保其稳定运行。
4. 优化现有运维流程，提升运维效率。
任职要求：
1. 熟练掌握Python编程语言，有良好的编程习惯。
2. 能够独立解决技术难题，具有良好的分析和问题解决能力。
3. 具有良好的团队合作精神，能够与团队成员有效沟通。
4. 对新技术有持续学习的意愿和能力。",14.0,16.0,15.0,0.0,0.5,0.5,0.0,0.0
Java/C/C++/Python/JS/C#/IOS/Andriod/测试（全国招聘）,外企德科数字技术有限公司,北京,1.5-3万,1-3年,本科,"Python, C++, Spring, MySQL","Java：
职位要求：
1.一本以上学历，计算机相关专业；
2.JAVA基础扎实，精通IO、多线程、集合等基础框架，精通分布式、缓存、消息、搜索等机制；
3.熟悉Springboot、dubbo、sprngcloud；
4.精通HTML、面向对象JavaScript技术，以及框架jQuery/EXT技术；
5.精通apache,nginx,Tomcat等应用服务器的使用，熟悉linux常用命令，可部署系统与分析性能；
6.精通面向对象设计方法和设计模式，逻辑能力佳，熟悉UML设计工具；
7.熟练掌握至少一种数据库Oracle、MySQL,有数据库优化经历者优先；
8.具有很强的编码功底，有过业务设计经验，能解决疑难技术问题；
9.有过互联网金融类或电商类平台开发经验的优先。
C/C++:
岗位职责：
1.策略回测、仿真和实盘交易系统开发；
2.参与整体技术框架和各个平台的研究和设计；
3.使用C++编程语言，负责交易系统模块开发和测试；
4.协助交易和运维同事解决生产环境中出现的问题；
5.完成上级交办的其他工作。
职位要求：
1.一本以上学历，软件开发、软件工程、信息管理等其他计算机相关专业；
2.有很强的分析和解决问题的能力，有良好的团队协作和沟通能力；
3.工作积极主动，能够主动学习新的技术，解决工作中的问题。对技术开发工作有专研精神，不断提高自己的技术能力；
4.一年以上C++编程语言开发经验，有具体项目开发经验，能够独立完成项目需求分析、设计及实现各阶段工作；
5.熟练掌握STL库、C++11以及多线程环境的编程；
6.有一种或几种常用数据库（如SQLServer，Redis，MySQL等）开发经验，精通SQL或者非关系型数据库编程，了解性能优化；
7.能够快速学习新的编程语言，有良好的编程习惯和技术文档编写习惯；
8.有C++服务器端开发经验，在金融机构技术部门有工作经验者优先。
Python(算法也考虑)：
岗位职责：
1.负责 等产品的服务端研发；
2.深入发掘和分析业务需求，撰写技术方案和系统设计；
3.根据产品需求，进行系统设计和编码；
4.持续对系统架构进行改造和优化；
职位要求：
1.一年以上开发经验，一年以上的Python开发经验；
2.具备良好的基本功，熟练使用基本的数据结构和算法，深入理解
多线程、Socket等相关技术；
3.具备良好的编码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低；
4.熟练掌握Django,Tornado，Sqlalchemy，Celery等主流框架，深入理解框架实现原理及特性；熟练使用python的常用库
5.熟悉Python的高级特性，深入理解各种设计模式和应用场景。
6.有大规模分布式系统的开发和高可用相关的实践经验，具备设计复杂系统的能力；
7.熟练掌握MySQL数据库，具备MySQL索引优化、查询优化的能力；
8.熟练掌握一种以上非关系型数据库，如Redis,Cassandra，理解其使用场景及限制；
9.熟悉分布式系统，熟练掌握一种以上服务框架和消息中间件，了解其实现原理；
10.熟悉Internet常用协议，如HTTP、TCP/IP、熟悉RESTful规范；
11.有以下经验者优先：
①具有golang实际工作经验；
②具有大规模分布式系统的调优经验；
③熟悉大规模分布式系统架构设计，熟悉CAP、Quorum、ConsistentHashing等原理和算法；
测试：
岗位职责：
1.负责大数据方向相关产品、工具的测试以及质量保证方面的工作
2.参与大数据产品的需求评审，提出建设性意见，根据测试项目需求，给出合理的测试策略
3.负责确定测试范围，制定测试计划、测试策略，编写并执行测试用例，以及缺陷管理
4.负责数据测试，验证海量数据质量及处理过程
5.负责软件开发流程优化，采用DevOps流程，完善CI/CD过程
职位要求：
1.一本以上学历；
2.一年以上大数据相关平台产品、应用和工具，及Hadoop相关组件测试经验；
3.熟悉掌握Python，熟悉java及JS等语言尤佳；
4.熟悉RobotFramework测试框架进行接口及UI自动化测试，掌握Selenium、JMeter等；
5.熟悉Linux系统，及shell脚本，熟悉数据库原理及SQL语言；
6.熟悉持续集成、持续交付的整体流程；了解Docker及容器云平台相关技术；了解Jenkins，Maven等持续构建工具；
7.熟悉Hadoop生态圈，了解hdfs，MapReduce，hive，Kafka等；
8.熟悉大数据产品，拥有大数据测试经验及技能，熟悉数据验证、MapReduce验证、数据处理结果验证、大数据架构及性能测试（数据提取/存储/处理效率、子组件工作效率等）；
9.引进新方法、新工具提高开发测试效率，建立良好的测试框架，提高软件质量；
10.热爱软件测试工作，有责任意识和好的自学能力，较强的发现问题分析问题能力，喜欢钻研，善于表达，乐于沟通；
JS：
岗位职责：
1.根据业务需求文档完成前端研发工作；与后端研发人员配合，讨论交互方式，页面集成工作；完成现有系统的维护工作，完成相关的迭代优化工作；
2.根据系统平台的业务需求，完成前端架构，并编制相关的前端规范等技术文档,网页标准化及优化研究；
3.负责公司前端的测试计划和优化，编写设计文档和测试分析报告等文档，沉淀和积累前端的测试框架和发布规范及机制；
4.负责前端系统性能优化工作，确立优化方向及可执行和量化的优化方案；
5.完成领导交办的其它任务。
职位要求：
1.大学本科及以上学历，软件技术、计算机科学与技术、电子工程等相关专业；
2.1年以上Web前端工作经验、对企业级前端开发有经验；
3.熟练使用JavaScript、CSS/CSS3.HTML4/HTML5编程开发，熟悉其标准规范及各浏览器差异性；
4.熟练掌握AjaxHTTP等基础知识了解跨域机制；
5.熟练前端模块化开发,面向对象编程开发；
6.熟练使用jQuery、React、Vue、ng、Ember等框架对前端组件化有一定的理解；
7.熟练使用前端代码管理及打包工具。
C#：
岗位职责：
1.完成软件系统代码的实现，编写代码注释和开发文档；
2.进行系统的功能定义、程序设计；
3.根据设计文档或需求完成代码编写，调试，测试和维护；
4.分析并解决软件开发过程中的问题；
5.协助测试工程师制定测试计划，定位发现的问题；
6.配合研发经理完成相关任务目标。
职位要求：
1.本科或以上学历，计算机类专业，有1年以上实际开发经验；
2.熟练掌握界面控件的使用和WCF/WPF开发，精通C#语言，精通XAML，具有.NET客户端开发经验；熟练JSON/XML数据处理处理和TCP编程；
3.工作仔细踏实，具备很强的工作主动性和团队合作的意识；
4.具备良好的沟通能力，乐于分享，具有较强的学习和解决问题能力；
5.具备需求分析和系统设计能力，以及较强的逻辑分析和独立解决问题能力；
6.熟悉多层结构和性能调优。较强的解决问题能力和良好的编程习惯；有严谨的软件品质求精心态，熟悉单元测试撰写；
7.具有SQLServer/Oracle/MySQL（其中之一）数据库设计和开发的经验；具备较强的SQL编写及性能优化能力；
IOS：
岗位职责：
1.主要负责IOS应用程序的设计、开发工作；
2.基于公司的产品设计，根据需求，进行IOS版本应用的实现；
3.能够较快的解决测试中发现的问题；
4，对流畅度有一定的追求；
5.对IOS平台开发技术进行研究，根据开发过程中的体验对产品提出改进建议。
职位要求：
1.精通iOS开发技术，能处理比较复杂的UI、线程、系统调用、网络等方面问题;
2.精通多线程和网络编程，掌握基本的框架结构和设计模式，对高性能程序设计、架构有较多的工程经验;
3.精通IOS平台自定义控件和动画效果;
4.熟悉视频播放;
5.熟悉iOS和及常用的framework，熟悉IOS系统运行机理，对内存管理、对象生命周期有清晰的认识;
6.有良好的架构设计能力，熟练运用设计模式;
7.1年以上开发工作经验，在GitHub上有代码者,熟悉ReactiveCocoa者均会加分;
8.熟练掌握json数据的解析方法，熟悉HTTP协议，熟练掌握ASIHTTPRequest的使用，熟悉SQLite数据库存储;
9.对移动产品有较强的敏感度和热情;
10.个性乐观开朗，好奇心强，逻辑思维强，善于团队合作。
Android：
岗位职责：
1.负责/参与SoC芯片参考设计（ReferenceDesign）平台各个软件功能模块的需求分析、设计、开发调试以及性能优化等方面的工作；
2.负责SoC平台的Bootloader（U-Boot/LK）与Linux内核的驱动开发、调试与优化；
3.负责SoC平台的AndroidHAL的适配调试与优化；
4.负责SoC平台的系统稳定性/性能调优/功耗调优/安全等工作；
5.负责SoC平台的中国客户的AndroidBSP技术支持，出差到现场帮助客户解决BSP相关的问题，或协助韩国总部工程师同客户进行技术交流。
职位要求：
1.具有电子/计算机/自动化相关专业的本科及以上学历，至少有2年以上相关从业经验；
2.熟练掌握C/C++编程；
3.熟练使用Linux操作系统以及Git代码管理；
4.熟悉ARM/ARM64等平台下的嵌入式开发技术，具有较强的系统开发与调试能力；
5.熟悉Linux驱动开发，有芯片公司工作背景者优先；
6.熟悉Linux内核进程调度、内存管理、中断管理、文件系统，对内核优化有实际工作经验者优先；
7.熟悉GPU、Audio算法、Sensor算法、功耗优化、显示驱动、系统稳定性分析、性能调优者优先；
8.具备较强的文沟通能力，以及良好的团队协作精神。",15.0,30.0,22.5,0.0,0.0,0.3333,0.3333,0.3333
python开发,上海微创软件股份有限公司,北京,1.2-1.3万,1-3年,本科,Shell,"职责：负责大模型系统的开发和维护、性能优化、数据治理等
精通python，熟悉flask/fastapi等服务框架，熟悉linux操作，会写sql，熟悉redis
加分项：熟悉pandas等数据处理工具",12.0,13.0,12.5,0.0,1.0,0.0,0.0,0.0
AI应用python开发工程师（ZS1 gp)(J10822),东方国信,北京,1.5-2.5万,3-5年,本科,,"工作职责
1、精通 Python 或 Java，能够熟练使用 FastAPI、Flask 等主流服务框架进行开发;
2、熟悉 PostgreSQL、MySQL 等关系型数据库，具备数据库设计、优化及调优能力;
3、了解 Redis 缓存机制，能够合理运用缓存提升系统性能;
4、熟悉 S3 或其他对象存储方案，具备文件存储与管理经验。

任职资格
1、丰富的开发经验：具备3年以上大中型平台后端开发经验，熟悉高并发、分布式系统的设计与实现;
2、独立开发能力：具备独立完成模块设计与开发的能力，能够高效实现业务需求，交付高质量的接口与服务;
3、团队协作与沟通：具备良好的团队协作精神，能够与产品、前端、测试等团队紧密配合，确保项目顺利推进。",15.0,25.0,20.0,0.0,0.0,0.5,0.5,0.0
Java/Python/C/C++/数开/测试/算法/前端岗,外企德科数字技术有限公司,北京,1.5-3万·14薪,经验不限,本科,"Python, C++, C, Java, 通信/物联网/自动化, 嵌入式","Java/C/C++/Python/嵌入式/驱动开发/前端/测试/算法/数据开发等 均有岗位！
不卡地域，不卡部门，面试成绩通用~

地域：北京/上海/深圳/杭州/成都/西安/东莞/南京/武汉等地域，根据个人意愿选择；
亮点：年轻团队，核心业务，根据技术能力定级定薪无固定上限，入职即交五险一金，享有年终14-16薪，项目奖金等，享受带薪年假病假等福利，长期稳定晋升发展~
能力要求：
1.熟悉Java/Go/PythonC/C++至少一种语言；
2.掌握常见的数据结构．算法；
3.熟悉常用设计模式、数据框架；
4.具有良好学习能力；",15.0,30.0,22.5,0.0,0.0,0.3333,0.3333,0.3333
Python开发工程师,京北方,北京,1.6-1.8万,3-5年,本科,Java,"岗位职责：
1. 使用Python进行软件开发，包括但不限于数据处理、算法实现和统计分析
2. 熟练运用常用的开源软件及组件进行项目开发
3. 参与项目需求分析与设计，撰写相关技术文档

岗位要求：
1. 计算机相关专业毕业，3-5年工作经验
2. 熟悉算法统计包，有实际项目经验
3. 熟悉常用的开源软件及组件

薪资待遇：16-18k",16.0,18.0,17.0,0.0,0.0,1.0,0.0,0.0
python后端开发工程师,上海微创软件股份有限公司,北京,1.5-1.6万,3-5年,大专,"Django, PyQt, Sql, PostgreSQL, MySQL","工作职责:
""1、承担产品服务端开发需求，可完成具有一定难度的开发工作
2、可独立进行技术方案设计，能够主动协同前端、后端进行沟通联调
3、代码质量高，及时消除bug，提升产品体验""
任职要求:
""1. 教育背景：计算机科学或相关专业。
2. 专业技能：精通Python编程语言，熟悉Django、Flask等Web框架；了解RESTful API设计原则。
3. 技术栈要求：熟悉MySQL/PostgreSQL等关系型数据库，了解Redis等缓存技术；有分布式系统、微服务架构经验者优先。
4.了解RAG、Agent、Prompt调优等大模型相关基础知识的优先。
5.具有良好的沟通能力和团队合作精神，具备一定分析和解决问题能力。",15.0,16.0,15.5,0.0,0.0,1.0,0.0,0.0
python开发工程师,外企德科数字技术有限公司,北京,1.5-3万·14薪,经验不限,本科,"Java, C++","【岗位职责】

在这里，您将从事IT应用层软件、分布式云化软件、互联网软件等的设计开发，可以采用敏捷、Devops、开源等先进的软件设计开发模式，接触最前沿的产品和软件技术，成为大容量高并发技术的专家；您将参与软件研发工作，包括但不限于：

（1）完成从客户需求到软件产品定义、架构设计、开发实现、再到上线运营维护等产品生命周期中的各个环节；

（2）创造性解决产品在实现过程中的技术难题，应用前沿技术提升产品的核心竞争力，如分布式系统、性能调优、可靠性、数据库等；

（3）有机会参与业界前沿技术研究和规划，参与开源社区运作，与全球专家一起工作、交流，构建业界影响力。


【岗位要求】

1、计算机、软件、通信等相关专业本科及以上学历；

2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；

3、具备独立工作能力和解决问题的能力、善于沟通，乐于合作，热衷新技术，善于总结分享，喜欢动手实践；

4、对数据结构、算法有一定了解；

5、优选条件：

（1）熟悉TCP/IP协议及互联网常见应用和协议的原理；

（2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参于编程开源社区组织；

（3）熟悉JS/AS/AJAX/HTML5/CSS等前端开发技术。",15.0,30.0,22.5,0.0,0.0,0.3333,0.3333,0.3333
